posteam,ExPoint_Prob,Blocked,Made,Missed
ARI,0.931114949971538,2.0,21.0,1.0
ATL,0.931114949971538,0.0,33.0,0.0
BAL,0.931114949971538,0.0,35.0,0.0
BUF,0.931114949971538,0.0,26.0,0.0
CAR,0.8598548913998189,0.0,2.0,0.0
CAR,0.931114949971538,1.0,32.0,2.0
CHI,0.8598548913998189,0.0,1.0,0.0
CHI,0.931114949971538,1.0,20.0,1.0
CIN,0.931114949971538,0.0,29.0,2.0
CLE,0.931114949971538,0.0,24.0,1.0
DAL,0.931114949971538,0.0,34.0,3.0
DEN,0.931114949971538,0.0,24.0,0.0
DET,0.931114949971538,0.0,33.0,1.0
GB,0.931114949971538,0.0,32.0,2.0
HOU,0.931114949971538,0.0,29.0,2.0
IND,0.7917015073335324,0.0,1.0,0.0
IND,0.931114949971538,0.0,21.0,1.0
JAX,0.8598548913998189,0.0,1.0,0.0
JAX,0.931114949971538,1.0,30.0,2.0
KC,0.931114949971538,0.0,37.0,0.0
LA,0.931114949971538,0.0,43.0,3.0
LAC,0.8598548913998189,0.0,1.0,0.0
LAC,0.931114949971538,1.0,33.0,3.0
MIA,0.931114949971538,0.0,23.0,3.0
MIN,0.8598548913998189,0.0,1.0,0.0
MIN,0.931114949971538,2.0,32.0,3.0
NE,0.8598548913998189,0.0,1.0,0.0
NE,0.931114949971538,0.0,44.0,2.0
NO,0.7917015073335324,0.0,1.0,0.0
NO,0.931114949971538,1.0,43.0,1.0
NYG,0.931114949971538,2.0,18.0,1.0
NYJ,0.931114949971538,0.0,29.0,0.0
OAK,0.8598548913998189,0.0,1.0,0.0
OAK,0.931114949971538,0.0,32.0,1.0
PHI,0.931114949971538,0.0,40.0,4.0
PIT,0.8598548913998189,0.0,1.0,0.0
PIT,0.931114949971538,1.0,35.0,1.0
SEA,0.931114949971538,0.0,33.0,1.0
SF,0.931114949971538,0.0,28.0,1.0
TB,0.931114949971538,0.0,26.0,2.0
TEN,0.931114949971538,1.0,30.0,1.0
WAS,0.8598548913998189,0.0,1.0,0.0
WAS,0.931114949971538,0.0,33.0,3.0
